Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-04-04T13:33:13.702000Z,2024-04-04T13:41:22.827000Z,2024-04-12T09:38:27.186000Z,2024-04-04T13:41:58.833423Z,490,C8TRMCWU,16,27,Male,Black,South Africa,South Africa,South Africa,Afrikaans,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:29:24.447000Z,2024-04-04T13:31:57.357000Z,2024-04-12T09:38:27.718000Z,2024-04-04T13:31:58.184553Z,153,C8TRMCWU,99,31,Female,Black,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:30:10.338000Z,2024-04-04T13:32:12.754000Z,2024-04-12T09:38:29.547000Z,2024-04-04T13:32:13.296893Z,123,C8TRMCWU,291,22,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:29:28.558000Z,2024-04-04T13:30:09.110000Z,2024-04-12T09:38:36.607000Z,2024-04-04T13:30:09.547256Z,41,C8TRMCWU,444,24,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:29:32.198000Z,2024-04-04T13:30:23.816000Z,2024-04-12T09:38:37.591000Z,2024-04-04T13:30:24.372508Z,52,C8TRMCWU,352,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
APPROVED,Not Applicable,2024-04-04T13:29:42.513000Z,2024-04-04T13:30:48.095000Z,2024-04-12T09:38:42.703000Z,2024-04-04T13:30:48.713125Z,66,C8TRMCWU,5,35,Female,White,Turkey,Switzerland,Turkey,Turkish,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:29:42.198000Z,2024-04-04T13:30:30.810000Z,2024-04-12T09:38:43.446000Z,2024-04-04T13:30:31.868963Z,49,C8TRMCWU,73,23,Female,Asian,India,United Kingdom,United Kingdom,Hindi,Yes,Full-Time
APPROVED,Not Applicable,2024-04-04T13:29:39.209000Z,2024-04-04T13:30:32.017000Z,2024-04-12T09:38:44.440000Z,2024-04-04T13:30:32.534176Z,53,C8TRMCWU,335,23,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:30:52.289000Z,2024-04-04T13:32:34.098000Z,2024-04-12T09:38:45.626000Z,2024-04-04T13:32:34.842090Z,102,C8TRMCWU,382,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:30:10.587000Z,2024-04-04T13:31:57.646000Z,2024-04-12T09:38:46.519000Z,2024-04-04T13:31:58.257418Z,108,C8TRMCWU,84,20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:29:43.777000Z,2024-04-04T13:31:41.921000Z,2024-04-12T09:38:47.375000Z,2024-04-04T13:31:42.607988Z,119,C8TRMCWU,565,27,Male,Mixed,Israel,Israel,Israel,Arabic,Yes,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:31:25.772000Z,2024-04-04T13:33:16.029000Z,2024-04-12T09:38:48.116000Z,2024-04-04T14:33:19.941633Z,111,C8TRMCWU,85,34,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:30:43.643000Z,2024-04-04T13:32:05.140000Z,2024-04-12T09:38:48.838000Z,2024-04-04T13:32:05.914174Z,82,C8TRMCWU,101,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:30:00.794000Z,2024-04-04T13:30:42.833000Z,2024-04-12T09:38:49.598000Z,2024-04-04T13:30:43.710034Z,43,C8TRMCWU,202,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:30:09.756000Z,2024-04-04T13:31:45.212000Z,2024-04-12T09:38:50.442000Z,2024-04-04T13:31:45.817279Z,96,C8TRMCWU,23,22,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Other
APPROVED,Not Applicable,2024-04-04T13:30:17.675000Z,2024-04-04T13:32:17.564000Z,2024-04-12T09:38:51.343000Z,2024-04-04T13:32:18.342569Z,120,C8TRMCWU,266,25,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time
APPROVED,Not Applicable,2024-04-04T13:30:15.324000Z,2024-04-04T13:31:02.571000Z,2024-04-12T09:38:52.069000Z,2024-04-04T13:31:03.199586Z,48,C8TRMCWU,366,29,Female,White,Portugal,Belgium,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:30:19.462000Z,2024-04-04T13:32:07.236000Z,2024-04-12T09:38:52.857000Z,2024-04-04T13:32:07.851843Z,108,C8TRMCWU,127,29,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:30:17.915000Z,2024-04-04T13:32:02.067000Z,2024-04-12T09:38:53.721000Z,2024-04-04T13:32:02.659877Z,105,C8TRMCWU,365,47,Female,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:30:21.088000Z,2024-04-04T13:31:37.938000Z,2024-04-12T09:38:54.657000Z,2024-04-04T13:31:38.621008Z,77,C8TRMCWU,278,23,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:30:21.430000Z,2024-04-04T13:31:22.912000Z,2024-04-12T09:38:55.446000Z,2024-04-04T13:31:23.406685Z,62,C8TRMCWU,475,44,Female,White,Ireland,Ireland,Ireland,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:30:25.157000Z,2024-04-04T13:31:11.835000Z,2024-04-12T09:38:56.122000Z,2024-04-04T13:31:12.527670Z,47,C8TRMCWU,1023,30,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:30:30.941000Z,2024-04-04T13:33:00.090000Z,2024-04-12T09:38:56.868000Z,2024-04-04T13:33:00.800162Z,150,C8TRMCWU,321,37,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:30:27.691000Z,2024-04-04T13:31:54.772000Z,2024-04-12T09:38:57.500000Z,2024-04-04T13:31:55.735751Z,88,C8TRMCWU,246,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
APPROVED,Not Applicable,2024-04-04T13:30:43.893000Z,2024-04-04T13:32:02.647000Z,2024-04-12T09:38:58.053000Z,2024-04-04T13:32:03.255681Z,79,C8TRMCWU,245,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:30:39.954000Z,2024-04-04T13:32:28.257000Z,2024-04-12T09:38:58.610000Z,2024-04-04T13:32:28.881130Z,109,C8TRMCWU,334,28,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
