Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-10-03T21:36:43.339000Z,2024-10-03T21:38:35.818000Z,2024-10-04T00:49:58.111000Z,2024-10-03T21:41:31.505267Z,113,C7MPIYMZ,620,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
APPROVED,Not Applicable,2024-10-03T21:35:40.984000Z,2024-10-03T21:41:59.159000Z,2024-10-04T00:49:58.442000Z,2024-10-03T21:42:56.591322Z,379,C7MPIYMZ,31,English,26,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-10-03T21:35:17.105000Z,2024-10-03T21:43:38.583000Z,2024-10-04T00:49:58.810000Z,2024-10-03T21:44:02.205550Z,502,C7MPIYMZ,0,English,23,Male,White,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-03T21:35:27.120000Z,2024-10-03T21:37:19.675000Z,2024-10-04T00:49:59.170000Z,2024-10-03T21:37:20.448724Z,113,C7MPIYMZ,3881,English,39,Male,White,United States,United States,United States,English,Yes,Full-Time
APPROVED,Not Applicable,2024-10-03T21:35:27.873000Z,2024-10-03T21:37:38.275000Z,2024-10-04T00:49:59.452000Z,2024-10-03T21:37:38.944730Z,131,C7MPIYMZ,1292,English,21,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:35:58.167000Z,2024-10-03T21:41:44.663000Z,2024-10-04T00:49:59.739000Z,2024-10-03T21:42:45.609801Z,347,C7MPIYMZ,21,English,25,Male,Black,Nigeria,Canada,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:35:41.606000Z,2024-10-03T21:38:58.959000Z,2024-10-04T00:50:00.031000Z,2024-10-03T21:42:21.586690Z,198,C7MPIYMZ,38,"English, Swahili, Other",27,Male,Black,Kenya,Kenya,Kenya,Swahili,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-03T21:35:45.566000Z,2024-10-03T21:36:55.412000Z,2024-10-04T00:50:00.365000Z,2024-10-03T21:36:58.370374Z,70,C7MPIYMZ,95,English,31,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:35:52.511000Z,2024-10-03T21:37:39.721000Z,2024-10-04T00:50:00.703000Z,2024-10-03T21:37:40.447192Z,108,C7MPIYMZ,241,English,37,Male,White,Australia,Australia,Australia,English,Yes,Part-Time
APPROVED,Not Applicable,2024-10-03T21:35:52.960000Z,2024-10-03T21:38:39.173000Z,2024-10-04T00:50:00.992000Z,2024-10-03T21:41:32.727573Z,167,C7MPIYMZ,143,English,22,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time
