"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","id","com.1","com.2","rel.int.vien","rel.share.vien","rel.surp.vien","rel.mem.vien","rel.eng.vien","irr.int.vien","irr.share.vien","irr.surp.vien","irr.mem.vien","irr.eng.vien","rel.int.bike","rel.share.bike","rel.surp.bike","rel.mem.bike","rel.eng.bike","irr.int.bike","irr.share.bike","irr.surp.bike","irr.mem.bike","irr.eng.bike","irr.int.food","irr.share.food","irr.surp.food","irr.mem.food","irr.eng.food","rel.int.food","rel.share.food","rel.surp.food","rel.mem.food","rel.eng.food","rel.int.film","rel.share.film","rel.surp.film","rel.mem.film","rel.eng.film","irr.int.film","irr.share.film","irr.surp.film","irr.mem.film","irr.eng.film","FL_524_DO","viennarelevant_DO","viennairrelevant_DO","bikerelevant_DO","bikeirrelevant_DO","merrickrelevant_DO","merrickirrelevant_DO","blockbusterrelevant_DO","blockbusterirrelevant_DO"
"10/3/2024 15:14","10/3/2024 15:15","0","100","75","1","10/3/2024 15:15","","","","","anonymous","EN","1",288,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","7","6","6","6","","","","","","blockbusterrelevant","","","","","","","Q838|rel.share.film|rel.eng.film|rel.surp.film|rel.int.film|rel.mem.film",""
"10/3/2024 15:14","10/3/2024 15:15","0","100","79","1","10/3/2024 15:15","","","","","anonymous","EN","1",289,"7","1","6","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennarelevant","Q808|rel.share.vien|rel.surp.vien|rel.int.vien|rel.mem.vien|rel.eng.vien","","","","","","",""
"10/3/2024 15:04","10/3/2024 15:15","0","100","653","1","10/3/2024 15:15","","","","","anonymous","EN","1",290,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","4","5","6","6","","","","","","blockbusterrelevant","","","","","","","Q838|rel.eng.film|rel.share.film|rel.surp.film|rel.mem.film|rel.int.film",""
"10/3/2024 15:12","10/3/2024 15:15","0","100","174","1","10/3/2024 15:15","","","","","anonymous","EN","1",291,"7","1","","","","","","","","","","","5","2","5","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","bikerelevant","","","Q820|rel.eng.bike|rel.share.bike|rel.int.bike|rel.mem.bike|rel.surp.bike","","","","",""
"10/3/2024 15:13","10/3/2024 15:15","0","100","123","1","10/3/2024 15:15","","","","","anonymous","EN","1",292,"7","1","","","","","","5","3","5","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennairrelevant","","Q539|irr.mem.vien|irr.surp.vien|irr.int.vien|irr.share.vien|irr.eng.vien","","","","","",""
"10/3/2024 15:12","10/3/2024 15:15","0","100","181","1","10/3/2024 15:15","","","","","anonymous","EN","1",293,"7","1","","","","","","","","","","","7","5","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","bikerelevant","","","Q820|rel.mem.bike|rel.surp.bike|rel.share.bike|rel.eng.bike|rel.int.bike","","","","",""
"10/3/2024 15:12","10/3/2024 15:15","0","100","175","1","10/3/2024 15:15","","","","","anonymous","EN","1",294,"7","1","","","","","","","","","","","5","5","6","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","bikerelevant","","","Q820|rel.share.bike|rel.mem.bike|rel.int.bike|rel.surp.bike|rel.eng.bike","","","","",""
"10/3/2024 15:13","10/3/2024 15:15","0","100","136","1","10/3/2024 15:15","","","","","anonymous","EN","1",295,"7","1","","","","","","7","5","6","6","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennairrelevant","","Q539|irr.eng.vien|irr.int.vien|irr.surp.vien|irr.share.vien|irr.mem.vien","","","","","",""
"10/3/2024 15:13","10/3/2024 15:15","0","100","152","1","10/3/2024 15:15","","","","","anonymous","EN","1",296,"7","1","","","","","","6","6","5","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennairrelevant","","Q539|irr.eng.vien|irr.share.vien|irr.surp.vien|irr.mem.vien|irr.int.vien","","","","","",""
"10/3/2024 15:14","10/3/2024 15:15","0","100","69","1","10/3/2024 15:15","","","","","anonymous","EN","1",297,"7","1","","","","","","","","","","","5","2","2","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","bikerelevant","","","Q820|rel.eng.bike|rel.share.bike|rel.mem.bike|rel.int.bike|rel.surp.bike","","","","",""
"10/3/2024 15:11","10/3/2024 15:15","0","100","267","1","10/3/2024 15:15","","","","","anonymous","EN","1",298,"7","1","5","3","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennarelevant","Q808|rel.surp.vien|rel.eng.vien|rel.int.vien|rel.mem.vien|rel.share.vien","","","","","","",""
"10/3/2024 15:10","10/3/2024 15:15","0","100","289","1","10/3/2024 15:15","","","","","anonymous","EN","1",299,"7","1","3","3","1","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennarelevant","Q808|rel.mem.vien|rel.eng.vien|rel.surp.vien|rel.share.vien|rel.int.vien","","","","","","",""
"10/3/2024 15:12","10/3/2024 15:15","0","100","166","1","10/3/2024 15:15","","","","","anonymous","EN","1",300,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","4","4","4","","","","","","","","","","","merrickirrelevant","","","","","","Q832|rel.int.food|rel.share.food|rel.eng.food|rel.mem.food|rel.surp.food","",""
"10/3/2024 15:14","10/3/2024 15:15","0","100","90","1","10/3/2024 15:15","","","","","anonymous","EN","1",301,"7","1","5","5","6","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennarelevant","Q808|rel.share.vien|rel.surp.vien|rel.eng.vien|rel.mem.vien|rel.int.vien","","","","","","",""
"10/3/2024 15:14","10/3/2024 15:15","0","100","49","1","10/3/2024 15:15","","","","","anonymous","EN","1",302,"7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/3/2024 15:13","10/3/2024 15:15","0","100","158","1","10/3/2024 15:15","","","","","anonymous","EN","1",303,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","4","3","5","","","","","","","","","","","merrickirrelevant","","","","","","Q832|rel.eng.food|rel.int.food|rel.share.food|rel.mem.food|rel.surp.food","",""
"10/3/2024 15:13","10/3/2024 15:15","0","100","156","1","10/3/2024 15:15","","","","","anonymous","EN","1",304,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","3","4","5","","","","","","blockbusterrelevant","","","","","","","Q838|rel.eng.film|rel.surp.film|rel.share.film|rel.int.film|rel.mem.film",""
"10/3/2024 15:14","10/3/2024 15:15","0","100","90","1","10/3/2024 15:15","","","","","anonymous","EN","1",305,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","2","2","blockbusterirrelevant","","","","","","","","Q844|irr.surp.film|irr.share.film|irr.eng.film|irr.int.film|irr.mem.film"
"10/3/2024 15:14","10/3/2024 15:16","0","100","95","1","10/3/2024 15:16","","","","","anonymous","EN","1",306,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","2","5","5","blockbusterirrelevant","","","","","","","","Q844|irr.eng.film|irr.share.film|irr.mem.film|irr.surp.film|irr.int.film"
"10/3/2024 15:13","10/3/2024 15:16","0","100","126","1","10/3/2024 15:16","","","","","anonymous","EN","1",307,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","4","3","7","5","","","","","","blockbusterrelevant","","","","","","","Q838|rel.surp.film|rel.eng.film|rel.int.film|rel.share.film|rel.mem.film",""
"10/3/2024 15:14","10/3/2024 15:16","0","100","77","1","10/3/2024 15:16","","","","","anonymous","EN","1",308,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","2","5","5","","","","","","blockbusterrelevant","","","","","","","Q838|rel.eng.film|rel.mem.film|rel.share.film|rel.surp.film|rel.int.film",""
"10/3/2024 15:14","10/3/2024 15:16","0","100","68","1","10/3/2024 15:16","","","","","anonymous","EN","1",309,"7","1","","","","","","","","","","","6","6","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","bikerelevant","","","Q820|rel.surp.bike|rel.share.bike|rel.eng.bike|rel.int.bike|rel.mem.bike","","","","",""
"10/3/2024 15:13","10/3/2024 15:16","0","100","133","1","10/3/2024 15:16","","","","","anonymous","EN","1",310,"7","1","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","","","","","","","","","","","","","","","","merrickrelevant","","","","","Q826|irr.mem.food|irr.share.food|irr.surp.food|irr.int.food|irr.eng.food","","",""
"10/3/2024 15:12","10/3/2024 15:16","0","100","193","1","10/3/2024 15:16","","","","","anonymous","EN","1",311,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","7","6","","","","","","blockbusterrelevant","","","","","","","Q838|rel.surp.film|rel.mem.film|rel.share.film|rel.int.film|rel.eng.film",""
"10/3/2024 15:07","10/3/2024 15:16","0","100","522","1","10/3/2024 15:16","","","","","anonymous","EN","1",312,"7","1","","","","","","5","1","3","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennairrelevant","","Q539|irr.int.vien|irr.eng.vien|irr.mem.vien|irr.share.vien|irr.surp.vien","","","","","",""
