Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2025-12-22T15:11:49.059000Z,2025-12-22T15:14:09.923000Z,2025-12-23T21:37:35.457000Z,2025-12-22T15:14:10.332051Z,141,C8TRMCWU,5557,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:48.349000Z,2025-12-22T15:16:56.092000Z,2025-12-23T21:36:54.094000Z,2025-12-22T15:17:11.608588Z,308,C8TRMCWU,11,32,Male,Black,Kenya,Poland,Kenya,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:45.553000Z,2025-12-22T15:16:39.680000Z,2025-12-23T21:36:54.374000Z,2025-12-22T15:16:40.095783Z,295,C8TRMCWU,7,32,Male,White,Chile,Chile,Chile,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:11:50.142000Z,2025-12-22T15:13:48.473000Z,2025-12-23T21:37:35.677000Z,2025-12-22T15:13:48.882930Z,119,C8TRMCWU,427,25,Female,Asian,Philippines,Philippines,Philippines,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2025-12-22T15:11:54.481000Z,2025-12-22T15:13:26.036000Z,2025-12-23T21:37:35.910000Z,2025-12-22T15:13:26.459821Z,92,C8TRMCWU,3627,41,Female,White,New Zealand,United Kingdom,DATA_EXPIRED,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2025-12-22T15:11:49.174000Z,2025-12-22T15:13:06.522000Z,2025-12-23T21:37:36.163000Z,2025-12-22T15:13:06.933536Z,78,C8TRMCWU,3394,37,Female,Mixed,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:58.293000Z,2025-12-22T15:13:15.445000Z,2025-12-23T21:37:36.390000Z,2025-12-22T15:13:15.839872Z,78,C8TRMCWU,909,42,Female,White,Canada,Canada,Canada,English,Yes,Full-Time
APPROVED,Not Applicable,2025-12-22T15:12:00.563000Z,2025-12-22T15:14:17.495000Z,2025-12-23T21:36:05.295000Z,2025-12-22T15:14:17.892374Z,137,C8TRMCWU,2260,46,Female,White,Australia,Australia,Australia,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2025-12-22T15:12:07.832000Z,2025-12-22T15:13:39.335000Z,2025-12-23T21:36:05.581000Z,2025-12-22T15:13:39.787637Z,92,C8TRMCWU,4863,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
APPROVED,Not Applicable,2025-12-22T15:12:06.251000Z,2025-12-22T15:13:51.163000Z,2025-12-23T21:36:54.800000Z,2025-12-22T15:13:51.582910Z,105,C8TRMCWU,1769,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:12:08.122000Z,2025-12-22T15:14:54.167000Z,2025-12-23T21:36:05.858000Z,2025-12-22T15:14:54.560467Z,167,C8TRMCWU,1357,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:12:13.862000Z,2025-12-22T15:16:58.771000Z,2025-12-23T21:36:55.077000Z,2025-12-22T15:16:59.177758Z,285,C8TRMCWU,2427,24,Male,Black,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:12:08.313000Z,2025-12-22T15:23:47.447000Z,2025-12-23T21:36:06.125000Z,2025-12-22T15:23:47.895280Z,700,C8TRMCWU,1449,37,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2025-12-22T15:12:13.283000Z,2025-12-22T15:13:38.398000Z,2025-12-23T21:36:06.390000Z,2025-12-22T15:13:39.920234Z,86,C8TRMCWU,936,31,Female,Asian,Canada,Canada,Canada,English,No,Part-Time
APPROVED,Not Applicable,2025-12-22T15:12:38.078000Z,2025-12-22T15:27:15.255000Z,2025-12-23T21:36:06.655000Z,2025-12-22T15:27:15.670589Z,878,C8TRMCWU,1622,48,Female,Asian,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:12:13.997000Z,2025-12-22T15:15:36.886000Z,2025-12-23T21:36:55.364000Z,2025-12-22T15:15:37.344416Z,203,C8TRMCWU,648,45,Male,White,Italy,United Kingdom,Italy,Italian,No,Full-Time
