Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
English,56,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Czech, Danish, Dutch, English, Greek",37,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
"Afrikaans, Chinese, English, French, German",19,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,35,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
"English, Afrikaans",65,Female,Black,South Africa,South Africa,South Africa,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,45,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,65,Female,White,United States,United States,United States,English,No,Full-Time
English,53,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
English,64,Female,White,United States,United States,United States,English,No,Full-Time
English,36,Female,White,South Africa,South Africa,Portugal,English,No,Part-Time
"English, German, Hindi, Mandarin, Thai",26,Female,Mixed,United States,Germany,Germany,English,Yes,Part-Time
English,26,Female,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
English,34,Female,White,United States,United States,United States,English,Yes,Part-Time
English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
English,30,Female,White,United States,United States,United States,English,Yes,Full-Time
"Swahili, Japanese, English",27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,30,Female,White,United States,United States,United States,English,No,Full-Time
English,38,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
English,38,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
English,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,40,Female,Black,United States,United States,United States,English,No,Full-Time
English,26,Female,Black,United States,United States,United States,English,No,Full-Time
English,20,Female,Black,United States,United States,United States,English,Yes,Full-Time
English,63,Female,White,United States,United States,United States,English,No,Full-Time
English,50,Female,White,United States,United States,United States,English,No,Full-Time
"English, Other",41,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Full-Time
English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
"English, Korean",32,Female,Asian,Korea,Canada,Canada,Korean,No,Full-Time
English,25,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,41,Female,Black,United States,United States,United States,English,No,Part-Time
English,43,Female,White,United States,United States,United States,English,No,Full-Time
English,38,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,42,Female,DATA_EXPIRED,United States,United States,United States,English,No,Full-Time
English,30,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,18,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
"English, French, Afrikaans",31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
"Afrikaans, English",38,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
